120;280;80;40;3;0
200;280;80;40;3;0
280;280;80;40;3;0
360;280;80;40;3;0
440;280;80;40;3;0
520;280;80;40;3;0
600;280;80;40;3;0
120;40;80;40;1;0
160;80;80;40;1;0
200;120;80;40;1;5
240;160;80;40;1;0
280;200;80;40;1;0
320;240;80;40;1;0
400;320;80;40;1;4
440;360;80;40;1;0
480;400;80;40;1;0
520;440;80;40;1;5
560;480;80;40;1;0
600;520;80;40;1;0
600;40;80;40;1;0
560;80;80;40;1;0
520;120;80;40;1;5
480;160;80;40;1;0
440;200;80;40;1;0
400;240;80;40;1;0
320;320;80;40;1;3
280;360;80;40;1;0
240;400;80;40;1;0
200;440;80;40;1;5
160;480;80;40;1;0
120;520;80;40;1;0
360;40;80;40;2;0
360;80;80;40;2;0
360;120;80;40;2;0
360;160;80;40;2;0
360;200;80;40;2;0
360;360;80;40;2;0
360;400;80;40;2;0
360;440;80;40;2;0
360;480;80;40;2;0
360;520;80;40;2;0
