80;80;80;40;1;0
240;80;80;40;1;0
160;120;80;40;2;0
80;160;80;40;1;0
240;160;80;40;1;2
80;280;80;40;2;0
240;280;80;40;2;0
160;320;80;40;3;0
80;360;80;40;2;0
240;360;80;40;2;0
80;480;80;40;1;0
240;480;80;40;1;0
160;520;80;40;2;0
80;560;80;40;1;0
240;560;80;40;1;3
480;80;80;40;1;0
640;80;80;40;1;0
560;120;80;40;2;0
480;160;80;40;1;1
640;160;80;40;1;0
480;280;80;40;2;0
640;280;80;40;2;0
560;320;80;40;3;0
480;360;80;40;2;0
640;360;80;40;2;0
480;480;80;40;1;0
640;480;80;40;1;0
560;520;80;40;2;0
480;560;80;40;1;0
640;560;80;40;1;0
